/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.groupitemmetadataprovider.js: line 3, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 772, col 15, Bad line breaking before '||'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 935, col 21, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1018, col 15, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1018, col 44, Use the isNaN function to compare with NaN.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1028, col 30, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1043, col 15, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1043, col 44, Use the isNaN function to compare with NaN.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1044, col 23, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1055, col 6, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1067, col 15, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1067, col 44, Use the isNaN function to compare with NaN.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1068, col 23, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1079, col 6, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1091, col 15, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1091, col 44, Use the isNaN function to compare with NaN.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1101, col 6, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 3, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 76, col 33, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 77, col 29, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 78, col 35, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 224, col 49, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 470, col 23, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 484, col 23, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 512, col 24, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 865, col 41, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 877, col 16, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 1107, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 427, col 35, 'varArgs' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 443, col 33, 'varArgs' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 892, col 60, 'args' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.dataview.js: line 892, col 54, 'e' is defined but never used.

45 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 19, col 43, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 37, col 48, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 16, col 116, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 145, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 146, col 4, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 18, col 43, 'e' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 25, col 45, 'args' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.columnpicker.js: line 118, col 48, 'e' is defined but never used.

8 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 21, col 67, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 22, col 66, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 23, col 66, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 24, col 66, Use '!==' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 26, col 8, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 75, col 22, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 90, col 57, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 136, col 31, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 16, col 34, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 154, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/controls/slick.pager.js: line 155, col 4, 'jQuery' is not defined.

11 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 461, col 64, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 486, col 15, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 650, col 43, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 963, col 20, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 965, col 48, Expected a conditional expression and instead saw an assignment.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 968, col 55, Expected a conditional expression and instead saw an assignment.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1146, col 25, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1150, col 25, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1356, col 17, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1670, col 14, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1670, col 32, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1691, col 23, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1694, col 24, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1773, col 51, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1819, col 54, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1856, col 51, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1859, col 63, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1911, col 18, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1911, col 26, 'ii' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2135, col 9, Function declarations should not be placed in blocks. Use a function expression or move the statement to the top of the outer function.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2408, col 15, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2408, col 31, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2485, col 26, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2489, col 26, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2609, col 70, Bad constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2692, col 35, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2760, col 53, Use '!==' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2932, col 15, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2932, col 31, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2964, col 15, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2964, col 31, Use '===' to compare with 'null'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 3290, col 15, eval can be harmful.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 3291, col 14, eval can be harmful.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 24, col 6, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 34, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 74, col 19, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 332, col 13, 'navigator' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 333, col 13, 'navigator' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 441, col 22, 'navigator' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 442, col 60, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 461, col 42, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 940, col 31, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 946, col 22, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1013, col 20, 'Slick' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1851, col 15, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1908, col 15, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1924, col 7, 'clearTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 1925, col 22, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2009, col 11, 'clearTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2019, col 24, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.grid.js: line 2019, col 24, Too many errors. (59% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.core.js: line 73, col 6, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.core.js: line 169, col 6, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.core.js: line 253, col 6, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.core.js: line 10, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/slick.core.js: line 458, col 4, 'jQuery' is not defined.

5 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 2, col 1, Unnecessary semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 99, col 44, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 184, col 50, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 186, col 38, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 193, col 50, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 195, col 38, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 200, col 49, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 4, col 18, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/examples/slick.compositeeditor.js: line 212, col 4, 'jQuery' is not defined.

9 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 4, col 130, Use '===' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 4, col 178, Use '===' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 4, col 447, 'options' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 4, col 684, Use '===' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 5, col 70, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 6, col 429, 'options' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 8, col 246, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 11, col 25, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 12, col 25, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 13, col 21, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 13, col 57, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 20, col 42, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 20, col 166, 'height' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 23, col 10, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 28, col 69, 'x' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 29, col 51, 'x' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 29, col 384, 'options' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 29, col 594, 'width' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 30, col 105, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 31, col 25, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 32, col 20, Use '===' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 32, col 72, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 32, col 338, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 33, col 94, 'height' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 33, col 196, 'height' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 33, col 248, 'y' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 34, col 7, Use '===' to compare with '0'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 34, col 29, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 19, 'y' used out of scope.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 191, 'options' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 315, 'width' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 684, 'height' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 756, 'y' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 769, 'height' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 793, 'color' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 825, 'y' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 850, 'height' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 36, col 862, 'color' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 37, col 33, 'color' used out of scope.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 38, col 19, 'y' used out of scope.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 38, col 49, 'color' used out of scope.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 38, col 55, 'color' used out of scope.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 38, col 191, 'options' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 38, col 770, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 39, col 25, Use '!==' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 40, col 408, 'options' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 40, col 852, Use '===' to compare with 'undefined'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 40, col 872, 'min' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 42, col 669, 'options' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 44, col 31, 'i' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.sparkline.min.js: line 44, col 31, Too many errors. (54% scanned).

51 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 47, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 108, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 129, Wrap the /regexp/ literal in parens to disambiguate the slash operator.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 149, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 255, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 256, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 324, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 325, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 350, 'O' is already defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 579, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 585, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 628, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 629, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 655, Confusing use of '!'.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 803, Missing '()' invoking a constructor.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1120, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1121, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1153, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1154, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1235, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1236, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1307, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1315, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1730, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1740, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1741, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1751, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1182, 'clearTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1281, 'setTimeout' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1514, 'window' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1550, 'document' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1604, 'location' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1744, 'jQuery' is not defined.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 510, 'X' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 512, 'V' is defined but never used.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery.jsonp-2.4.min.js: line 4, col 1177, 'e' is defined but never used.

36 errors
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 101, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 308, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 472, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 556, Expected an assignment or function call and instead saw an expression.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 557, Missing semicolon.
/home/anusha/Desktop/cs527/modified_projects/jshint/slickgrid/lib/jquery-1.7.min.js: line 3, col 565, Missing semicolon.
